id,ANSI,USPS,GPO,Name
1,01,AL,Ala.,Alabama
2,02,AK,Alaska,Alaska
3,04,AZ,Ariz.,Arizona
4,05,AR,Ark.,Arkansas
5,06,CA,Calif.,California
6,08,CO,Colo.,Colorado
7,09,CT,Conn.,Connecticut
8,10,DE,Del.,Delaware
9,11,DC,D.C.,District of Columbia
10,12,FL,Fla.,Florida
11,13,GA,Ga.,Georgia
12,15,HI,Hawaii,Hawaii
13,16,"ID",Idaho,Idaho
14,17,IL,Ill.,Illinois
15,18,IN,Ind.,Indiana
16,19,IA,Iowa,Iowa
17,20,KS,Kans.,Kansas
18,21,KY,Ky.,Kentucky
19,22,LA,La.,Louisiana
20,23,ME,Maine,Maine
21,24,MD,Md.,Maryland
22,25,MA,Mass.,Massachusetts
23,26,MI,Mich.,Michigan
24,27,MN,Minn.,Minnesota
25,28,MS,Miss.,Mississippi
26,29,MO,Mo.,Missouri
27,30,MT,Mont.,Montana
28,31,NE,Nebr.,Nebraska
29,32,NV,Nev.,Nevada
30,33,NH,N.H.,New Hampshire
31,34,NJ,N.J.,New Jersey
32,35,NM,N. Mex.,New Mexico
33,36,NY,N.Y.,New York
34,37,NC,N.C.,North Carolina
35,38,ND,N. Dak.,North Dakota
36,39,OH,Ohio,Ohio
37,40,OK,Okla.,Oklahoma
38,41,OR,Oreg.,Oregon
39,42,PA,Pa.,Pennsylvania
40,44,RI,R.I.,Rhode Island
41,45,SC,S.C.,South Carolina
42,46,SD,S. Dak.,South Dakota
43,47,TN,Tenn.,Tennessee
44,48,TX,Tex.,Texas
45,49,UT,Utah,Utah
46,50,VT,Vt.,Vermont
47,51,VA,Va.,Virginia
48,53,WA,Wash.,Washington
49,54,WV,W. Va.,West Virginia
50,55,WI,Wis.,Wisconsin
51,56,WY,Wyo.,Wyoming